Encolhimento com barra no cabo,Ombros,Trapézio,,Cabo,"Encolhimento com barra no cabo, isolando o trapézio com tensão constante.",#Fique em pé de frente para a polia baixa#Segure a barra com pegada pronada#Mantenha os braços estendidos ao lado do corpo#Expire enquanto eleva os ombros em direção às orelhas#Contraia o trapézio no topo#Desça os ombros controladamente,Baixa
Hand gripper,Antebraço,Flexores dos dedos,Antebraços,Halteres,"Preensão com hand gripper, fortalecendo a força de preensão e antebraço.",#Segure o hand gripper com uma mão#Posicione as alças entre a palma e os dedos#Expire enquanto aperta fechando completamente o aparelho#Contraia os flexores dos dedos#Retorne controladamente#Complete todas as repetições antes de trocar de mão,Baixa
Rosca de dedos com barra por trás do corpo,Antebraço,Flexores dos dedos,Antebraços,Barra,"Rosca de dedos com barra atrás do corpo, trabalhando preensão e flexores dos dedos.",#Fique em pé segurando a barra atrás do corpo com pegada supinada#Mantenha os braços estendidos#Deixe a barra rolar para a ponta dos dedos#Expire enquanto fecha os dedos puxando a barra de volta#Mantenha os punhos relativamente fixos#Execute o movimento apenas com os dedos,Baixa
Rosca de dedos com barra,Antebraço,Flexores dos dedos,Antebraços,Barra,"Rosca de dedos com barra, fortalecendo preensão e flexores dos dedos.",#Sente-se com os antebraços apoiados no banco#Segure a barra com pegada supinada (palmas para cima)#Deixe a barra rolar para a ponta dos dedos#Expire enquanto fecha os dedos puxando a barra de volta#Mantenha os punhos relativamente fixos#Execute o movimento apenas com os dedos],Baixa
Rosca de dedos com halteres por trás do corpo,Antebraço,Flexores dos dedos,Antebraços,Halteres,"Rosca de dedos com halteres atrás do corpo, trabalhando preensão unilateralmente.",#Fique em pé segurando halteres atrás do corpo com pegada pronada (palmas para trás)#Mantenha os braços estendidos#Deixe os halteres rolarem para a ponta dos dedos#Expire enquanto fecha os dedos puxando os halteres de volta#Mantenha os punhos relativamente fixos#Execute o movimento apenas com os dedos,Baixa
Rosca punho com anilha e pegada pronada,Antebraço,Extensores do punho,Antebraços,Halteres,"Rosca punho reversa com anilha, trabalhando extensores do antebraço.",#Sente-se com um antebraço apoiado na coxa#Segure uma anilha com pegada pronada (palma para baixo)#Deixe o punho descer#Expire enquanto eleva o punho para cima#Contraia os extensores do antebraço#Desça controladamente#Complete todas as repetições antes de trocar de mão,Baixa
Rosca punho com anilhas,Antebraço,Flexores do punho,Antebraços,Halteres,"Rosca punho com anilhas, flexionando os punhos para trabalhar antebraço.",#Sente-se com os braços ao lado do corpo#Flexione os cotovelos a 90 graus com antebraços para frente#Segure anilhas com pegada neutra (palmas voltadas uma para outra)#Deixe os punhos descerem#Expire enquanto flexiona os punhos para cima#Contraia os flexores do antebraço#Desça controladamente,Baixa
Rosca punho com barra e pegada pronada (ajoelhado),Antebraço,Extensores do punho,Antebraços,Barra,"Rosca punho reversa ajoelhado com barra, isolando extensores do antebraço.",#Ajoelhe-se e apoie os antebraços em um banco#Segure a barra com pegada pronada (palmas para baixo)#Deixe os punhos descerem#Expire enquanto eleva os punhos para cima#Contraia os extensores do antebraço#Desça controladamente,Baixa
Rosca punho com barra e pegada pronada (sentado),Antebraço,Extensores do punho,Antebraços,Barra,"Rosca punho reversa sentado com barra, trabalhando extensores do antebraço.",#Sente-se com os antebraços apoiados nas coxas#Segure a barra com pegada pronada (palmas para baixo)#Deixe os punhos descerem#Expire enquanto eleva os punhos para cima#Contraia os extensores do antebraço#Desça controladamente,Baixa
Rosca punho com barra por trás do corpo,Antebraço,Flexores do punho,Antebraços,Barra,"Rosca punho com barra atrás do corpo, variação em pé para flexores do antebraço.",#Fique em pé segurando a barra atrás do corpo com pegada supinada#Mantenha os braços estendidos#Deixe os punhos descerem#Expire enquanto flexiona os punhos para cima#Contraia os flexores do antebraço#Desça controladamente,Baixa
Rosca punho com barra,Antebraço,Flexores do punho,Antebraços,Barra,"Rosca punho com barra, exercício clássico para desenvolvimento dos antebraços.",#Sente-se com os antebraços apoiados no banco#Segure a barra com pegada supinada (palmas para cima)#Deixe os punhos descerem#Expire enquanto flexiona os punhos para cima#Contraia os flexores do antebraço#Desça controladamente,Baixa
Rosca punho com halter e pegada neutra,Antebraço,Flexores e extensores do punho,Antebraços,Halteres,"Rosca punho com halter e pegada neutra, trabalhando antebraço em movimento lateral.",#Sente-se com o antebraço apoiado na coxa#Segure um halter com pegada neutra (polegar para cima)#Expire enquanto move o punho lateralmente para cima#Contraia o antebraço#Retorne à posição neutra controladamente#Pode mover para ambos os lados#Complete todas as repetições antes de trocar de mão,Baixa
Rosca punho com halter,Antebraço,Flexores do punho,Antebraços,Halteres,"Rosca punho com halter, isolando cada antebraço individualmente.",#Sente-se com um antebraço apoiado na coxa#Segure um halter com pegada supinada (palma para cima)#Deixe o punho descer#Expire enquanto flexiona o punho para cima#Contraia os flexores do antebraço#Desça controladamente#Complete todas as repetições antes de trocar,Baixa
Supino reto com barra,Peito,Peitoral Maior,"Deltoide anterior, Tríceps",Barra,"Supino reto com barra, exercício fundamental para desenvolvimento do peitoral.",#Deite-se no banco reto com os pés apoiados no chão#Segure a barra com pegada na largura dos ombros ou levemente mais aberta#Retire a barra do suporte com braços estendidos#Inspire enquanto desce a barra controladamente até o peito#Expire enquanto empurra a barra de volta à posição inicial,Média
